"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Germany","2012","Total","Both Sexes","Aachen","City proper","Estimate - de jure","Final figure, complete","2012","260454",""
"Germany","2012","Total","Both Sexes","Augsburg","City proper","Estimate - de jure","Final figure, complete","2012","266647",""
"Germany","2012","Total","Both Sexes","Bergisch Gladbach","City proper","Estimate - de jure","Final figure, complete","2012","105836",""
"Germany","2012","Total","Both Sexes","BERLIN","City proper","Estimate - de jure","Final figure, complete","2012","3501872",""
"Germany","2012","Total","Both Sexes","Bielefeld","City proper","Estimate - de jure","Final figure, complete","2012","323395",""
"Germany","2012","Total","Both Sexes","Bochum","City proper","Estimate - de jure","Final figure, complete","2012","373976",""
"Germany","2012","Total","Both Sexes","Bonn","City proper","Estimate - de jure","Final figure, complete","2012","327913",""
"Germany","2012","Total","Both Sexes","Bottrop","City proper","Estimate - de jure","Final figure, complete","2012","116361",""
"Germany","2012","Total","Both Sexes","Braunschweig","City proper","Estimate - de jure","Final figure, complete","2012","250556",""
"Germany","2012","Total","Both Sexes","Bremen","City proper","Estimate - de jure","Final figure, complete","2012","548319",""
"Germany","2012","Total","Both Sexes","Bremerhaven","City proper","Estimate - de jure","Final figure, complete","2012","112982",""
"Germany","2012","Total","Both Sexes","Chemnitz","City proper","Estimate - de jure","Final figure, complete","2012","243173",""
"Germany","2012","Total","Both Sexes","Cottbus","City proper","Estimate - de jure","Final figure, complete","2012","102129",""
"Germany","2012","Total","Both Sexes","Darmstadt","City proper","Estimate - de jure","Final figure, complete","2012","149052",""
"Germany","2012","Total","Both Sexes","Dortmund","City proper","Estimate - de jure","Final figure, complete","2012","580956",""
"Germany","2012","Total","Both Sexes","Dresden","City proper","Estimate - de jure","Final figure, complete","2012","529781",""
"Germany","2012","Total","Both Sexes","Duisburg","City proper","Estimate - de jure","Final figure, complete","2012","488005",""
"Germany","2012","Total","Both Sexes","Düsseldorf","City proper","Estimate - de jure","Final figure, complete","2012","592393",""
"Germany","2012","Total","Both Sexes","Erfurt","City proper","Estimate - de jure","Final figure, complete","2012","206384",""
"Germany","2012","Total","Both Sexes","Erlangen","City proper","Estimate - de jure","Final figure, complete","2012","106326",""
"Germany","2012","Total","Both Sexes","Essen","City proper","Estimate - de jure","Final figure, complete","2012","573468",""
"Germany","2012","Total","Both Sexes","Frankfurt am Main","City proper","Estimate - de jure","Final figure, complete","2012","691518",""
"Germany","2012","Total","Both Sexes","Freiburg im Breisgau","City proper","Estimate - de jure","Final figure, complete","2012","229144",""
"Germany","2012","Total","Both Sexes","Fürth","City proper","Estimate - de jure","Final figure, complete","2012","116317",""
"Germany","2012","Total","Both Sexes","Gelsenkirchen","City proper","Estimate - de jure","Final figure, complete","2012","256652",""
"Germany","2012","Total","Both Sexes","Göttingen","City proper","Estimate - de jure","Final figure, complete","2012","121364",""
"Germany","2012","Total","Both Sexes","Hagen","City proper","Estimate - de jure","Final figure, complete","2012","187447",""
"Germany","2012","Total","Both Sexes","Halle (Saale)","City proper","Estimate - de jure","Final figure, complete","2012","233705",""
"Germany","2012","Total","Both Sexes","Hamburg","City proper","Estimate - de jure","Final figure, complete","2012","1798836",""
"Germany","2012","Total","Both Sexes","Hamm","City proper","Estimate - de jure","Final figure, complete","2012","182112",""
"Germany","2012","Total","Both Sexes","Hannover","City proper","Estimate - de jure","Final figure, complete","2012","525875",""
"Germany","2012","Total","Both Sexes","Heidelberg","City proper","Estimate - de jure","Final figure, complete","2012","149633",""
"Germany","2012","Total","Both Sexes","Heilbronn","City proper","Estimate - de jure","Final figure, complete","2012","124257",""
"Germany","2012","Total","Both Sexes","Herne","City proper","Estimate - de jure","Final figure, complete","2012","164244",""
"Germany","2012","Total","Both Sexes","Hildesheim","City proper","Estimate - de jure","Final figure, complete","2012","102584",""
"Germany","2012","Total","Both Sexes","Ingolstadt","City proper","Estimate - de jure","Final figure, complete","2012","126732",""
"Germany","2012","Total","Both Sexes","Jena","City proper","Estimate - de jure","Final figure, complete","2012","105463",""
"Germany","2012","Total","Both Sexes","Karlsruhe","City proper","Estimate - de jure","Final figure, complete","2012","297488",""
"Germany","2012","Total","Both Sexes","Kassel","City proper","Estimate - de jure","Final figure, complete","2012","196496",""
"Germany","2012","Total","Both Sexes","Kiel","City proper","Estimate - de jure","Final figure, complete","2012","242041",""
"Germany","2012","Total","Both Sexes","Koblenz","City proper","Estimate - de jure","Final figure, complete","2012","106677",""
"Germany","2012","Total","Both Sexes","Köln","City proper","Estimate - de jure","Final figure, complete","2012","1017155",""
"Germany","2012","Total","Both Sexes","Krefeld","City proper","Estimate - de jure","Final figure, complete","2012","234396",""
"Germany","2012","Total","Both Sexes","Leipzig","City proper","Estimate - de jure","Final figure, complete","2012","531809",""
"Germany","2012","Total","Both Sexes","Leverkusen","City proper","Estimate - de jure","Final figure, complete","2012","161195",""
"Germany","2012","Total","Both Sexes","Lübeck","City proper","Estimate - de jure","Final figure, complete","2012","210577",""
"Germany","2012","Total","Both Sexes","Ludwigshafen am Rhein","City proper","Estimate - de jure","Final figure, complete","2012","165560",""
"Germany","2012","Total","Both Sexes","Magdeburg","City proper","Estimate - de jure","Final figure, complete","2012","232364",""
"Germany","2012","Total","Both Sexes","Mainz","City proper","Estimate - de jure","Final figure, complete","2012","200957",""
"Germany","2012","Total","Both Sexes","Mannheim","City proper","Estimate - de jure","Final figure, complete","2012","314931",""
"Germany","2012","Total","Both Sexes","Moers","City proper","Estimate - de jure","Final figure, complete","2012","105102",""
"Germany","2012","Total","Both Sexes","Mönchengladbach","City proper","Estimate - de jure","Final figure, complete","2012","257208",""
