Country or Area,Year,Area,Sex,City,State,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2012,Total,Both Sexes,Abilene ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,118887,"1,2"
United States of America,2012,Total,Both Sexes,Akron ,Ohio,City proper,Estimate - de jure,"Final figure, complete",2014,198549,"1,2"
United States of America,2012,Total,Both Sexes,Albuquerque ,New Mexico,City proper,Estimate - de jure,"Final figure, complete",2014,555417,"1,2"
United States of America,2012,Total,Both Sexes,Alexandria ,Virginia,City proper,Estimate - de jure,"Final figure, complete",2014,146294,"1,2"
United States of America,2012,Total,Both Sexes,Allentown ,Pennsylvania,City proper,Estimate - de jure,"Final figure, complete",2014,118974,"1,2"
United States of America,2012,Total,Both Sexes,Amarillo ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,195250,"1,2"
United States of America,2012,Total,Both Sexes,Anaheim ,California,City proper,Estimate - de jure,"Final figure, complete",2014,343248,"1,2"
United States of America,2012,Total,Both Sexes,Anchorage ,Alaska,City proper,Estimate - de jure,"Final figure, complete",2014,298610,"1,2"
United States of America,2012,Total,Both Sexes,Ann Arbor ,Michigan,City proper,Estimate - de jure,"Final figure, complete",2014,116121,"1,2"
United States of America,2012,Total,Both Sexes,Antioch ,California,City proper,Estimate - de jure,"Final figure, complete",2014,105508,"1,2"
United States of America,2012,Total,Both Sexes,Arlington ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,375600,"1,2"
United States of America,2012,Total,Both Sexes,Arvada ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,109745,"1,2"
United States of America,2012,Total,Both Sexes,Athens ,Georgia,City proper,Estimate - de jure,"Final figure, complete",2014,118999,"1,2"
United States of America,2012,Total,Both Sexes,Atlanta ,Georgia,City proper,Estimate - de jure,"Final figure, complete",2014,443775,"1,2"
United States of America,2012,Total,Both Sexes,Augusta ,Georgia,City proper,Estimate - de jure,"Final figure, complete",2014,197872,"1,2"
United States of America,2012,Total,Both Sexes,Aurora ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,339030,"1,2"
United States of America,2012,Total,Both Sexes,Aurora ,Illinois,City proper,Estimate - de jure,"Final figure, complete",2014,199932,"1,2"
United States of America,2012,Total,Both Sexes,Austin ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,842592,"1,2"
United States of America,2012,Total,Both Sexes,Bakersfield ,California,City proper,Estimate - de jure,"Final figure, complete",2014,358597,"1,2"
United States of America,2012,Total,Both Sexes,Baltimore ,Maryland,City proper,Estimate - de jure,"Final figure, complete",2014,621342,"1,2"
United States of America,2012,Total,Both Sexes,Baton Rouge ,Louisiana,City proper,Estimate - de jure,"Final figure, complete",2014,230058,"1,2"
United States of America,2012,Total,Both Sexes,Beaumont ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,118228,"1,2"
United States of America,2012,Total,Both Sexes,Bellevue ,Washington,City proper,Estimate - de jure,"Final figure, complete",2014,126439,"1,2"
United States of America,2012,Total,Both Sexes,Berkeley ,California,City proper,Estimate - de jure,"Final figure, complete",2014,115403,"1,2"
United States of America,2012,Total,Both Sexes,Billings ,Montana,City proper,Estimate - de jure,"Final figure, complete",2014,106954,"1,2"
United States of America,2012,Total,Both Sexes,Birmingham ,Alabama,City proper,Estimate - de jure,"Final figure, complete",2014,212038,"1,2"
United States of America,2012,Total,Both Sexes,Boise City ,Idaho,City proper,Estimate - de jure,"Final figure, complete",2014,212303,"1,2"
United States of America,2012,Total,Both Sexes,Boston ,Massachusetts,City proper,Estimate - de jure,"Final figure, complete",2014,636479,"1,2"
United States of America,2012,Total,Both Sexes,Boulder ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,101808,"1,2"
United States of America,2012,Total,Both Sexes,Bridgeport ,Connecticut,City proper,Estimate - de jure,"Final figure, complete",2014,146425,"1,2"
United States of America,2012,Total,Both Sexes,Brownsville ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,180097,"1,2"
United States of America,2012,Total,Both Sexes,Buffalo ,New York,City proper,Estimate - de jure,"Final figure, complete",2014,259384,"1,2"
United States of America,2012,Total,Both Sexes,Burbank ,California,City proper,Estimate - de jure,"Final figure, complete",2014,104391,"1,2"
United States of America,2012,Total,Both Sexes,Carlsbad ,California,City proper,Estimate - de jure,"Final figure, complete",2014,109318,"1,2"
United States of America,2012,Total,Both Sexes,Cambridge ,Massachusetts,City proper,Estimate - de jure,"Final figure, complete",2014,106471,"1,2"
United States of America,2012,Total,Both Sexes,Cape Coral ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,161248,"1,2"
United States of America,2012,Total,Both Sexes,Carrollton ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,125409,"1,2"
United States of America,2012,Total,Both Sexes,Cary ,North Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,145693,"1,2"
United States of America,2012,Total,Both Sexes,Cedar Rapids ,Iowa,City proper,Estimate - de jure,"Final figure, complete",2014,128119,"1,2"
United States of America,2012,Total,Both Sexes,Centennial ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,103743,"1,2"
United States of America,2012,Total,Both Sexes,Chandler ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,245628,"1,2"
United States of America,2012,Total,Both Sexes,Charleston ,South Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,125583,"1,2"
United States of America,2012,Total,Both Sexes,Charlotte ,North Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,775202,"1,2"
United States of America,2012,Total,Both Sexes,Chattanooga ,Tennessee,City proper,Estimate - de jure,"Final figure, complete",2014,171279,"1,2"
United States of America,2012,Total,Both Sexes,Chesapeake ,Virginia,City proper,Estimate - de jure,"Final figure, complete",2014,228417,"1,2"
United States of America,2012,Total,Both Sexes,Chicago ,Illinois,City proper,Estimate - de jure,"Final figure, complete",2014,2714856,"1,2"
United States of America,2012,Total,Both Sexes,Chula Vista ,California,City proper,Estimate - de jure,"Final figure, complete",2014,252422,"1,2"
United States of America,2012,Total,Both Sexes,Cincinnati ,Ohio,City proper,Estimate - de jure,"Final figure, complete",2014,296550,"1,2"
United States of America,2012,Total,Both Sexes,Clarksville ,Tennessee,City proper,Estimate - de jure,"Final figure, complete",2014,142519,"1,2"
United States of America,2012,Total,Both Sexes,Clearwater ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,108732,"1,2"
United States of America,2012,Total,Both Sexes,Cleveland ,Ohio,City proper,Estimate - de jure,"Final figure, complete",2014,390928,"1,2"
United States of America,2012,Total,Both Sexes,Colorado Springs ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,431834,"1,2"
United States of America,2012,Total,Both Sexes,Columbia ,Missouri,City proper,Estimate - de jure,"Final figure, complete",2014,113225,"1,2"
United States of America,2012,Total,Both Sexes,Columbia ,South Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,131686,"1,2"
United States of America,2012,Total,Both Sexes,Columbus ,Georgia,City proper,Estimate - de jure,"Final figure, complete",2014,198413,"1,2"
United States of America,2012,Total,Both Sexes,Columbus ,Ohio,City proper,Estimate - de jure,"Final figure, complete",2014,809798,"1,2"
United States of America,2012,Total,Both Sexes,Concord ,California,City proper,Estimate - de jure,"Final figure, complete",2014,124711,"1,2"
United States of America,2012,Total,Both Sexes,Coral Springs ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,125287,"1,2"
United States of America,2012,Total,Both Sexes,Corona ,California,City proper,Estimate - de jure,"Final figure, complete",2014,158391,"1,2"
